wavelength (nm),0,50,100,150,200,250,300,350,400,450,500,550,600,650,700
369,1.203408,1.206044,1.206824,1.210685,1.209684,1.216751,1.221176,1.224072,1.223238,1.221625,1.225194,1.227276,1.229239,1.228764,1.232322
370,1.204735,1.203072,1.204417,1.207127,1.21357,1.213806,1.215543,1.22093,1.219204,1.223572,1.221171,1.229854,1.228308,1.229733,1.230197
371,1.206225,1.207502,1.208201,1.210859,1.215875,1.21897,1.220638,1.219344,1.226153,1.225525,1.224925,1.230196,1.224334,1.232801,1.230717
372,1.206177,1.206865,1.206677,1.206549,1.215235,1.211809,1.219455,1.221121,1.21965,1.222998,1.225598,1.224901,1.227629,1.236001,1.227389
373,1.154761,1.155107,1.157216,1.162555,1.161219,1.165503,1.169948,1.170163,1.168929,1.173379,1.176839,1.175115,1.176992,1.178427,1.181076
374,1.155631,1.151363,1.152034,1.161155,1.164248,1.165864,1.165074,1.171207,1.168913,1.17167,1.173361,1.173874,1.174174,1.174758,1.179261
375,1.157346,1.153736,1.158961,1.161692,1.165208,1.167035,1.1695,1.172226,1.170997,1.173282,1.174998,1.176784,1.178768,1.178734,1.183139
376,1.15388,1.154478,1.162242,1.161771,1.162488,1.166521,1.169499,1.172706,1.170833,1.177942,1.177744,1.176506,1.177845,1.175904,1.180405
377,1.160332,1.160275,1.162411,1.16196,1.167493,1.170907,1.172681,1.17318,1.17244,1.177301,1.175941,1.17842,1.179497,1.180332,1.184296
378,1.159644,1.159229,1.164114,1.165124,1.169306,1.169999,1.170934,1.174335,1.175202,1.174844,1.177335,1.18083,1.180026,1.180554,1.18273
379,1.161629,1.160352,1.168383,1.165658,1.166208,1.169156,1.173373,1.176012,1.177236,1.180118,1.180209,1.181524,1.182711,1.182235,1.184374
380,1.161917,1.162101,1.163823,1.165848,1.168457,1.173946,1.173874,1.17703,1.179937,1.180899,1.179624,1.18107,1.181082,1.185153,1.185592
381,1.162878,1.163993,1.164998,1.166829,1.171476,1.173616,1.17463,1.176875,1.180157,1.180167,1.181496,1.183172,1.184182,1.185598,1.185606
382,1.161305,1.165657,1.163462,1.167024,1.172726,1.173535,1.177227,1.176797,1.179241,1.181163,1.180285,1.18512,1.184645,1.182776,1.185686
383,1.165118,1.16666,1.166128,1.170439,1.171202,1.176666,1.17569,1.179752,1.180906,1.183422,1.180338,1.183312,1.187987,1.184227,1.190092
384,1.162845,1.165451,1.165333,1.168615,1.170762,1.175539,1.175639,1.178866,1.178709,1.176892,1.183057,1.182462,1.183616,1.184713,1.191261
385,1.163378,1.163149,1.165503,1.167624,1.168666,1.173182,1.172341,1.176561,1.180366,1.179003,1.18055,1.183961,1.181365,1.180689,1.185654
386,1.163117,1.161032,1.166335,1.170206,1.170628,1.168248,1.17146,1.177021,1.177476,1.179692,1.180669,1.18302,1.183549,1.181353,1.184346
